drug,AUC,n_samples
amikacin,0.8604291859038262,1165
amoxicillin-clavulanic acid,0.9461899933457968,1033
ampicillin,0.8946483637965572,2532
ampicillin-sulbactam,0.7776970144021158,540
azithromycin,0.8904444950127053,966
aztreonam,0.814589306797099,770
cefazolin,0.9399010530137982,485
cefepime,0.9218768549089118,1100
cefotaxime,0.8966889683683575,1149
cefoxitin,0.9632303360873713,1072
cefpodoxime,0.634020408885116,250
ceftazidime,0.9059566101747114,1691
ceftiofur,0.9637739463601532,239
ceftriaxone,0.964093071504449,1585
cefuroxime,0.789598570828079,365
chloramphenicol,0.9489165319326014,1398
ciprofloxacin,0.9184507307564452,2701
colistin,0.9741967109424415,322
doxycycline,0.9025691699604742,173
ertapenem,0.8583057191948946,550
erythromycin,0.9964285714285713,181
gentamicin,0.938107448990916,2271
imipenem,0.9608898560750176,923
kanamycin,0.9578787878787878,131
levofloxacin,0.8390894091994335,792
meropenem,0.9391089127231875,2244
nalidixic acid,0.9478662545495098,1188
nitrofurantoin,0.8882645161290323,676
norfloxacin,0.7328725961538461,388
piperacillin,0.6346198830409356,272
piperacillin-tazobactam,0.8288111940096774,975
streptomycin,0.9151329725995856,934
sulfamethoxazole,0.8956933911159265,615
sulfisoxazole,0.9805092650167889,558
tetracycline,0.9388805897281447,1512
tobramycin,0.9274798172124905,631
trimethoprim,0.8945082770291762,676
trimethoprim-sulfamethoxazole,0.8696727317862998,1992
